U1132843960001980000906499800200000123123123AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL        
A220250411DINHEIRO                 1000000000400000000000000000000000000
A220250414DINHEIRO                 1000000001500000000000000000000000000
A220250415DINHEIRO                 1000000000600000000000000000000000000
A220250512DINHEIRO                 1000000002300000000000000000000000000
A220250514DINHEIRO                 1000000003700000000000000000000000000
A220250515DINHEIRO                 1000000003900000000000000000000000000
A220250520DINHEIRO                 1000000010500000000000000000000000000
A220250529DINHEIRO                 1000000000200000000000000000000000000
P21328439600019800000000000260000000031052000ADUBO YARA YARABASA 13.24.12 BB 1000KG            T     ATN180000000000000000
P21328439600019800000000000261000000031052000ADUBO YARABASA 02.18.18 10CA 6S BB 1000KG         T     ATN180000000000000100
P21328439600019800000000000262000000031052000ADUBO YARABASA 02.18.18 10CA 6S SC 50KG           SC    ATN180000000000000100
P21328439600019800000000000263000000031052000ADUBO YARABASA 03.21.21 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000264000000031052000ADUBO YARABASA 03.21.21 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000265000000031052000ADUBO YARABASA 05.25.12 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000266000000031052000ADUBO YARABASA 05.25.12 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000267000000031052000ADUBO YARABASA 05.26.05  BB 1000 KG               T     ATN180000000000000100
P21328439600019800000000000268000000031052000ADUBO YARABASA 05.26.05 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000269000000031052000ADUBO YARABASA 08.17.11 BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000270000000031052000ADUBO YARABASA 08.17.11 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000271000000031052000ADUBO YARABASA 09.16.11 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000272000000031052000ADUBO YARABASA 09.16.11 SC 50KG                   SC    ATN180000000000000100
P21328439600019800000000000273000000031052000ADUBO YARAMILA 08.21.21 BB 1000 KG                T     ATN180000000000000100
P21328439600019800000000000274000000031052000ADUBO YARAMILA 12.24.12                           SC    ATN180000000000000100
P21328439600019800000000000275000000031052000ADUBO YARAMILA 12.24.12 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000276000000031052000ADUBO YARAMILA 13.24.12 50 KG                     SC    ATN180000000000000100
P21328439600019800000000000277000000031052000ADUBO YARAMILA 13.24.12 BB 1000KG                 T     ATN180000000000000100
P21328439600019800000000000278000000031052000ADUBO YARAMILA ABSOLUTO 04.28.08                  SC    ATN180000000000000100
P21328439600019800000000000279000000031052000ADUBO YARAMILA ABSOLUTO 04.28.08 BB 1000KG        T     ATN180000000000000100
P21328439600019800000000000280000000031052000ADUBO YARAMILA SOBERANO 06.27.06 BB 1000KG        T     ATN180000000000000100
P21328439600019800000000000281000000031052000ADUBO YARAMILA UNIK 16.16.16 BB 1000KG            T     ATN180000000000000100
P21328439600019800000000000282000000031052000ADUBO YARAMILA UNIK 16.16.16 SC 50KG              SC    ATN180000000000000100
P21328439600019800000000000283000000038089323AFALON SC 01LT                                    LT    ATN180000000000000100
P21328439600019800000000000284000000038089197AGR OLEO 01LT                                     LT    ATN180000000000000100
P21328439600019800000000000285000000038089322AGRITONE 480 SL 05LT                              LT    ATN180000000000000100
P21328439600019800000000000286000000031021090AGRO TOP 05 LT                                    LT    ATN180000000000000100
P21328439600019800000000000287000000085442000AGR'OLEO 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000288000000085442000AGR'OLEO 20LT                                     LT    ATN180000000000000100
P21328439600019800000000000289000000038089999AIR TRUCK  1 LT                                   LT    ATN180000000000000100
P21328439600019800000000000290000000038089999AIR TRUCK  5 LT                                   LT    ATN180000000000000100
P21328439600019800000000000291000000031029000ALGA MOZN 5LT                                     LT    ATN180000000000000100
P21328439600019800000000000292000000038089299ALIETTE WP80 01 KG                                LT    ATN180000000000000100
P21328439600019800000000000293000000032061910ALLDRY - TRATAMENTO DE SEMENTES (GR)              KG    ATN180000000000000100
P21328439600019800000000000294000000032061910ALLDRY POS-SECANTE 10KG                           KG    ATN180000000000000100
P21328439600019800000000000295000000038089329ALLY 40GR                                         KG    ATN180000000000000100
P21328439600019800000000000296000000038089322AMINOL 806 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000297000000038089322AMINOL 806 20LT                                   LT    ATN180000000000000100
P21328439600019800000000000298000000031029000AMINOLOM FOLIAR 24% 1LT                           LT    ATN180000000000000100
P21328439600019800000000000299000000031029000AMINOLOM FOLIAR 24% 5LT                           LT    ATN180000000000000100
P21328439600019800000000000300000000038089299AMISTAR TOP 5LT                                   LT    ATN180000000000000100
P21328439600019800000000000301000000038089329AMPLO BR 01LT                                     LT    ATN180000000000000100
P21328439600019800000000000302000000038089329AMPLO BR 05LT                                     LT    ATN180000000000000100
P21328439600019800000000000303000000031029000AMPLUS- 5LT                                       LT    ATN180000000000000100
P21328439600019800000000000304000000084329000ANEL DE PLASTICO SEMEATO RED.1MM-VERDE            UN    ATN180000000000000100
P21328439600019800000000000305000000084329000ANEL MILHO                                        UN    ATN180000000000000100
P21328439600019800000000000306000000084329000ANTI PULO                                         UN    ATN180000000000000100
P21328439600019800000000000307000000038089299ANTRACOL 700 WP 5 KG                              KG    ATN180000000000000100
P21328439600019800000000000308000000038089299APPROVE 05 KG                                     KG    ATN180000000000000100
P21328439600019800000000000309000000038089329ARAMO 05LT                                        LT    ATN180000000000000100
P21328439600019800000000000310000000038089329ARREIO PASTO 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000311000000038089329ARREIO PASTO 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000312000000038089329ARREIO PASTO 20LT                                 LT    ATN180000000000000100
P21328439600019800000000000313000000034029019ASSIST 01LT                                       LT    ATN180000000000000100
P21328439600019800000000000314000000034029019ASSIST 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000315000000034029019ASSIST 20LT                                       LT    ATN180000000000000100
P21328439600019800000000000316000000038089199ATABRON 50CE 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000317000000038089199ATABRON 50CE 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000318000000038089329ATECTRA- 10LT                                     LT    ATN180000000000000100
P21328439600019800000000000319000000038089299ATIVUM EC. 05 LT                                  LT    ATN180000000000000100
P21328439600019800000000000320000000038089299ATIVUM EC. 10 LT                                  LT    ATN180000000000000100
P21328439600019800000000000321000000038089323ATRAZINA 500SC ALAMOS 20LT                        LT    ATN180000000000000100
P21328439600019800000000000322000000038089323ATRAZINA ACLAMADO BR 05LT                         LT    ATN180000000000000100
P21328439600019800000000000323000000038089323ATRAZINA ACLAMADO BR 20LT                         LT    ATN180000000000000100
P21328439600019800000000000324000000038089323ATRAZINA ATANOR 05LT                              LT    ATN180000000000000100
P21328439600019800000000000325000000038089323ATRAZINA ATANOR 20LT                              LT    ATN180000000000000100
P21328439600019800000000000326000000038089323ATRAZINA FACERO 500 SC 20LT                       LT    ATN180000000000000100
P21328439600019800000000000327000000038089323ATRAZINA NORTOX 500 SC 05LT                       LT    ATN180000000000000100
P21328439600019800000000000328000000038089323ATRAZINA NORTOX 500 SC 10LT                       LT    ATN180000000000000100
P21328439600019800000000000329000000038089323ATRAZINA NORTOX 500 SC 20LT                       LT    ATN180000000000000100
P21328439600019800000000000330000000038089323ATRAZINA PROOF 500SC 20LT                         LT    ATN180000000000000100
P21328439600019800000000000331000000038089291AUMENAX 05LT                                      LT    ATN180000000000000100
P21328439600019800000000000332000000034029029AUREO EC720 05LT                                  LT    ATN180000000000000100
P21328439600019800000000000333000000034029029AUREO EC720 20LT                                  LT    ATN180000000000000100
P21328439600019800000000000334000000038089329AURORA 400EC 500ML                                UN    ATN180000000000000100
P21328439600019800000000000335000000038089329AURORA 400EC LT                                   LT    ATN180000000000000100
P21328439600019800000000000336000000038089199AVATAR 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000337000000031056000AZHUS - BB 900KG (GESSO AGRICOLA)                 UN    ATN180000000000000100
P21328439600019800000000000338000000030029099AZOS  30 DOSES - 3 LT                             LT    ATN180000000000000000
P21328439600019800000000000339000000085442000BAGUAL AQUA 20 LT                                 LT    ATN180000000000000100
P21328439600019800000000000340000000038089199BALLVERIA 500GR                                   KG    ATN180000000000000100
P21328439600019800000000000341000000031025011BARUC 3,5 LT                                      LT    ATN180000000000000100
P21328439600019800000000000342000000038089329BASAGRAN 600 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000343000000038089329BASAGRAN 600 05LT                                 LT    ATN180000000000000100
P21328439600019800000000000344000000038089993BATENT 1LT                                        LT    ATN180000000000000100
P21328439600019800000000000345000000038089993BATENT 5LT                                        LT    ATN180000000000000100
P21328439600019800000000000346000000038089299BATTLE 10LT                                       LT    ATN180000000000000100
P21328439600019800000000000347000000038089299BAYTAN FS150 01LT                                 LT    ATN180000000000000100
P21328439600019800000000000348000000038089299BAYTAN FS150 20LT DRM BR                          LT    ATN180000000000000100
P21328439600019800000000000349000000038089299BAYTAN FS150 IBC 1000LT                           LT    ATN180000000000000100
P21328439600019800000000000350000000038089199BAZUKA 216 SL 10LT                                LT    ATN180000000000000100
P21328439600019800000000000351000000038089199BAZUKA 216 SL 20LT                                LT    ATN180000000000000100
P21328439600019800000000000352000000038089199BELT SC480 01LT                                   LT    ATN180000000000000100
P21328439600019800000000000353000000038089199BELT SC480 05LT                                   LT    ATN180000000000000100
P21328439600019800000000000354000000038089199BELURE 05LT                                       LT    ATN180000000000000100
P21328439600019800000000000355000000030029099BIAGRO NG 2X45 PCE BAG BR                         LT    ATN180000000000000100
P21328439600019800000000000356000000031029000BIOATIVADOR FOLHA NORTOX 5LT                      LT    ATN180000000000000100
P21328439600019800000000000357000000031029000BIOATIVADOR RAIZ NORTOX LT                        LT    ATN180000000000000100
P21328439600019800000000000358000000025210000BIOATYVO FOS BIG BAG 1000 KG                      T     ATT180000000000000100
P21328439600019800000000000359000000025210000BIOATYVO FOS SC 40KG                              SC    ATN180000000000000100
P21328439600019800000000000360000000031029000BIOBASE 25KG                                      SC    ATN180000000000000100
P21328439600019800000000000361000000031051000BIOGAIN AMINO MN ZN 1LT                           LT    ATN180000000000000100
P21328439600019800000000000362000000031051000BIOMA PHOS SIMBIOSE 1LT                           LT    ATN180000000000000100
P21328439600019800000000000363000000025174900BIOMACRO-SC 25KG - CA 24% + MG 6% S 5% PR         SC    ATN180000000000000100
